"3","情報リテラシーA T(2) キーワードで学ぶ最新情報トピックス 2022 e-Learning版","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=9847","1"
"3","情報リテラシーA J(1)J(2) キーワードで学ぶ最新情報トピックス 2022 e-Learning版","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=9844","1"
"3","情報リテラシーA L(1)","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5408","1"
"3","情報リテラシーA L(2)","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5409","1"
"3","情報リテラシーA J(1)","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5411","1"
"3","情報リテラシーA J(2)","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5412","1"
"3","情報リテラシーA E(1)","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5413","1"
"3","情報リテラシーA E(2)","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5414","1"
"3","情報リテラシーA E(3)","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5415","1"
"3","情報リテラシーA E(4)","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5416","1"
"3","情報リテラシーA T(1)（2022）","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5419","1"
"3","情報リテラシーA T(2)2022","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5420","1"
"3","情報リテラシーA T(3)_情シス／情報通信コース","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5421","1"
"3","情報リテラシーA T(4)_創造工_機械システムコース","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5422","1"
"3","情報リテラシーA T(5) 創造工学部先端マテリアル科学コース","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5423","1"
"3","情報リテラシーA A","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5424","1"
"3","情報リテラシーB","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5425","1"
"2","ライフデザイン","https://kadai-moodle.kagawa-u.ac.jp/course/index.php?categoryid=212","0"
"3","地方で生きるということを考える","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5046","1"
"3","ライフプランニングから見た金融","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5047","1"
"3","社会人になるための基礎を学ぶ","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=7838","1"
"3","地域で活躍する職業人に学ぶA","https://kadai-moodle.kagawa-u.ac.jp/course/view.php?id=5049","1"
