A_x,B_x,C,D_x,E,F,G,A_y,B_y,D_y
"171, ""010101"," ""哲学D """," ""佐藤  慶太", 松田　毅, 松田　毅[Sato Keita, MATSUDA Tsuyoshi," MATSUDA Tsuyoshi]""",,,
"172, ""010201"," ""論理学Ａ """," ""三宅　岳史[MIYAKE Takeshi]"""," ""前期"""," ""金2"""," ""1～""", ,,,
"173, ""010301"," ""倫理学C """," ""佐藤  慶太", 鈴木　亮三[Sato Keita," Ryozo SUZUKI]"""," ""後期"""," ""金2""",,,
"174, ""010401"," ""芸術Ａ """," ""岡田　知也", 若井　健司[OKADA Tomoya," WAKAI Kenji]"""," ""前期"""," ""木1""",,,
"175, ""010402"," ""芸術B """," ""柴田　悠基"""," ""後期"""," ""木1"""," ""1～""", ,,,
"176, ""010501"," ""心理学Ｄ """," ""大久保　智生", 岡田　涼[OKUBO Tomoo," OKADA Ryo]"""," ""前期"""," ""金2""",,,
"177, ""010502"," ""心理学F """," ""宮前　淳子", 宮前　義和[MIYAMAE Junko," Miyamae Yoshikazu]"""," ""前期"""," ""金2""",,,
"178, ""010503"," ""心理学H """," ""野口　修司", 坂中　尚哉, 長谷　綾子[Shuji NOGUCHI, Naoya SAKANAKA," Ayako HASE]""",,,
"179, ""010504"," ""心理学I """," ""谷渕　真也", 岡崎　聡[Shinya TANIBUCHI," Okazaki Satoshi]"""," ""後期"""," ""木4""",,,
"180, ""010601"," ""社会学D """," ""岡本　崇宅[Takaya OKAMOTO]"""," ""後期"""," ""火2"""," ""1～""", ,,,
"181, ""010602"," ""社会学Ｅ """," ""西本　佳代", 田村　周一[NISHIMOTO KAYO," Shuichi TAMURA]"""," ""前期"""," ""集中""",,,
"182, ""010603"," ""社会学G """," ""中島  美登子[Nakashima Mitoko]"""," ""前期"""," ""火2"""," ""1～""", ,,,
"183, ""010701"," ""教育学 """," ""毛利　猛[MOURI Takeshi]"""," ""後期"""," ""月1"""," ""1～""", ,,,
"184, ""010801"," ""歴史学A """," ""唐澤　晃一[KARASAWA Koichi]"""," ""前期"""," ""木1"""," ""1～""", ,,,
"185, ""010802"," ""歴史学B """," ""守田　逸人[MORITA Hayato]"""," ""後期"""," ""木4"""," ""1～""", ,,,
"186, ""010803"," ""歴史学Ｅ """," ""唐澤　晃一", 村山　聡[KARASAWA Koichi," MURAYAMA Satoshi]"""," ""前期"""," ""火1""",,,
"187, ""010901"," ""文学C """," ""古橋　紀宏[FURUHASHI Norihiro]"""," ""前期"""," ""木4"""," ""1～""", ,,,
"188, ""020101"," ""言語学 """," ""寺尾　徹", 金子　えつこ[TERAO Toru," Etuko KANEKO]"""," ""後期"""," ""金2""",,,
"189, ""020201"," ""法学Ａ イ"""," ""細谷　越史", 中曽　久雄[Hosotani Etsushi," NAKASO Hisao]"""," ""前期"""," ""火2""",,,
"190, ""020202"," ""法学Ａ ロ"""," ""杉木　志帆[SUGIKI Shiho]"""," ""後期"""," ""木5"""," ""1～""", ,,,
"191, ""020203"," ""法学Ｂ """," ""柴田  潤子[Shibata Junko]"""," ""前期"""," ""金2"""," ""1～""", ,,,
"192, ""020301"," ""政治学Ａ """," ""金　宗郁[Kimu ]"""," ""後期"""," ""木1"""," ""1～""", ,,,
"193, ""020401"," ""経済学Ａ """," ""持田　めぐみ[Mochida Megumi]"""," ""前期"""," ""金2"""," ""1～""", ,,,
"194, ""020501"," ""経営学 """," ""吉澤康代[Yoshizawa Yasuyo]"""," ""後期"""," ""火2"""," ""1～""", ,,,
"195, ""020601"," ""数学Ａ """," ""高野　啓児[TAKANO Keiji]"""," ""前期"""," ""木4"""," ""1～""", ,,,
"196, ""020603"," ""数学Ｃ イ"""," ""末永　慶寛[Suenaga Yoshihiro]"""," ""前期"""," ""木4"""," ""1～""", ,,,
"197, ""020604"," ""数学Ｃ ロ"""," ""藤本　憲市", 武田　健太郎[Kenichi FUJIMOTO," Kentaro Takeda]"""," ""前期"""," ""木4""",,,
"198, ""020605"," ""数学Ｃ ハ"""," ""林　純一郎[Hayashi Junichiro]"""," ""前期"""," ""木4"""," ""1～""", ,,,
"199, ""020606"," ""数学Ｃ ニ"""," ""須崎　嘉文[Suzaki Yoshifumi]"""," ""前期"""," ""木4"""," ""1～""", ,,,
"200, ""020607"," ""数学Ｄ イ"""," ""玉置　哲也[Tetsuya TAMAKI]"""," ""前期"""," ""月1"""," ""1～""", ,,,
"201, ""020608"," ""数学Ｄ ロ"""," ""堀川　洋[Horikawa Yo]"""," ""前期"""," ""金4"""," ""1～""", ,,,
"202, ""020609"," ""数学Ｄ ハ"""," ""髙橋　悟[Takahashi Satoru]"""," ""前期"""," ""月1"""," ""1～""", ,,,
"203, ""020610"," ""数学Ｄ ニ"""," ""舟橋  正浩[Funahashi Masahiro]"""," ""前期"""," ""月1"""," ""1～""", ,,,
"204, ""020611"," ""数学Ｅ """," ""四ッ谷　直仁[YOTSUTANI Naoto]"""," ""前期"""," ""木4"""," ""1～""", ,,,
"205, ""020612"," ""数学Ｆ """," ""宮﨑　隼人[MIYAZAKI Hayato]"""," ""前期"""," ""木4"""," ""1～""", ,,,
"206, ""020701"," ""地学B """," ""寺林　優", 松村　雅文, 寺尾　徹, 石塚　正秀, 山中　稔,,,
"207, ""020702"," ""地学Ｐ """," ""寺尾　徹", 松村　雅文, 寺林　優[TERAO Toru, MATSUMURA Masafumi," Terabayashi Masaru]""",,,
"208, ""020801"," ""物理学Ａ イ"""," ""丸　浩一[Koichi Maru]"""," ""前期"""," ""金1"""," ""1～""", ,,,
"209, ""020802"," ""物理学Ａ ロ"""," ""松本　洋明[Hiroaki Matsumoto]"""," ""前期"""," ""金1"""," ""1～""", ,,,
"210, ""020803"," ""物理学Ａ ハ"""," ""堤　成可[Shigeyoshi Tsutsumi]"""," ""前期"""," ""金1"""," ""1～""", ,,,
"211, ""020804"," ""物理学Ａ ニ"""," ""鈴木　桂輔[Suzuki Keisuke]"""," ""前期"""," ""木1"""," ""1～""", ,,,
"212, ""020805"," ""物理学Ａ ホ"""," ""勝又　暢久", 荒川　雅生[Nobuhisa KATSUMATA," Arakawa Masao]"""," ""後期"""," ""火1""",,,
"213, ""020806"," ""物理学Ｂ イ"""," ""松下　春奈[Matsushita Haruna]"""," ""後期"""," ""木4"""," ""1～""", ,,,
"214, ""020807"," ""物理学Ｂ ロ"""," ""小柴　俊[Koshiba Shun]"""," ""後期"""," ""木4"""," ""1～""", ,,,
"215, ""020808"," ""物理学Ｂ ハ"""," ""石丸　伊知郎[Ishimaru Ichiro]"""," ""後期"""," ""木4"""," ""1～""", ,,,
"216, ""020809"," ""物理学Ｄ """," ""笠　潤平", 高橋　尚志[RYU Jumpei," TAKAHASHI Naoshi]"""," ""前期"""," ""火2""",,,
"217, ""020810"," ""物理学Ｐ イ"""," ""宮川　勇人", 井上　恒, 武田　健太郎[Miyagawa Hayato, Inoue Koh," Kentaro Takeda]""",,,
"218, ""020811"," ""物理学Ｐ ロ"""," ""小野　貴史", 小玉　崇宏[Takafumi ONO," Takahiro KODAMA]"""," ""後期"""," ""火4～5""",,,
"219, ""020901"," ""化学Ａ """," ""上村　忍", 山口  一岩[Shinobu UEMURA," Yamaguchi Hitomi]"""," ""後期"""," ""金1""",,,
"220, ""020902"," ""化学Ｂ イ"""," ""髙田　悟郎", 佐藤　正資[Takata Goro," Sato Masashi]"""," ""前期"""," ""月1""",,,
"221, ""0209021"," ""化学Ｂ イ（農学部必修用）"""," ""髙田　悟郎", 佐藤　正資[Takata Goro," Sato Masashi]"""," ""前期"""," ""月1""",,,
"222, ""020903"," ""化学Ｂ ロ（農学部必修用）"""," ""髙田　悟郎", 佐藤　正資[Takata Goro," Sato Masashi]"""," ""前期"""," ""月1""",,,
"223, ""020904"," ""化学Ｄ """," ""馮　旗[Hyo Ki]"""," ""後期"""," ""木1"""," ""1～""", ,,,
"224, ""020905"," ""化学E """," ""田村　啓敏", 和田　健司, ＫＯＮＧ　ＬＩＮＧＢＩＮＧ, 米倉　リナ[Tamura Hirotoshi, Wada Kenji,,,
"225, ""020906"," ""化学Ｐ """," ""高木　由美子", 小森　博文[TAKAGI Yumiko," KOMORI Hirofumi]"""," ""前期"""," ""火4～5""",,,
"226, ""030101"," ""生物学Ａ """," ""諸隈　正裕", 望岡　亮介, 一見　和彦, 川﨑　淨教, 水田　圭祐[Morokuma Masahiro,,,
"227, ""030102"," ""生物学Ｂ イ"""," ""小林　剛", 奥田　延幸, 櫻庭　春彦, 髙村　武二郎[Kobayashi Tsuyoshi, Okuda Nobuyuki,,,
"228, ""0301021"," ""生物学Ｂ イ（農学部必修用）"""," ""小林　剛", 奥田　延幸, 櫻庭　春彦, 髙村　武二郎[Kobayashi Tsuyoshi, Okuda Nobuyuki,,,
"229, ""030103"," ""生物学Ｂ ロ（農学部必修用）"""," ""小林　剛", 奥田　延幸, 櫻庭　春彦, 髙村　武二郎[Kobayashi Tsuyoshi, Okuda Nobuyuki,,,
"230, ""030104"," ""生物学Ｃ """," ""神鳥　成弘", 中北　愼一, 岩間　久和, 伊藤　日加瑠[Kamitori Shigehiro, Nakakita Shinichi,,,
"231, ""030105"," ""生物学Ｐ """," ""松本　一範", 篠原　渉[MATSUMOTO Kazunori," SHINOHARA Wataru]"""," ""前期"""," ""火4～5""",,,
"232, ""030201"," ""地理学D """," ""原　真志[Hara Shinji]"""," ""前期"""," ""火5"""," ""1～""", ,,,
"233, ""030301"," ""統計学Ａ """," ""姚  峰[Yao Feng]"""," ""後期"""," ""金2"""," ""1～""", ,,,
"234, ""030401"," ""情報科学 """," ""林　敏浩", 藤本　憲市[Hayashi Toshihiro," Kenichi FUJIMOTO]"""," ""後期"""," ""集中""",,,
"235, ""030501"," ""医学 """," ""三宅　啓介[Miyake Keisuke]"""," ""後期"""," ""金1"""," ""1～""", ,,,
"236, ""030601"," ""看護学 """," ""金正　貴美", 前川　泰子, 山本　美輪, 川田　紀美子[Kinsho Takami, Maekawa Yasuko,,,
"237, ""041101"," ""Communicative English Ⅰ L(1)"""," ""ウィリアムズ　厚子"," ジョナサン　ベリー　[Jonathan Berry]"""," ""前期"""," ""金4"""," ""1～""",,,
"238, ""041102"," ""Communicative English Ⅰ L(2)"""," ""ウィリアムズ　厚子"," 篠原　範子[Shinohara Noriko]"""," ""前期"""," ""金4"""," ""1～""",,,
"239, ""041103"," ""Communicative English Ⅰ L(3)"""," ""ウィリアムズ　厚子"," 瀬良  和彦[Sera Kazuhiko]"""," ""前期"""," ""金4"""," ""1～""",,,
"240, ""041104"," ""Communicative English Ⅰ L(4)"""," ""ウィリアムズ　厚子"," 森川　光与[Mitsuyo MORIKAWA]"""," ""前期"""," ""金4"""," ""1～""",,,
"241, ""041105"," ""Communicative English Ⅰ L(5)"""," ""ウィリアムズ　厚子"," ヒル　スティーブ[HILL STEPHEN MICHAEL RICHARD]"""," ""前期"""," ""金4"""," ""1～""",,,
"242, ""041106"," ""Communicative English Ⅰ L(6)"""," ""パーキンス　ガレス　エドワード"""," ""前期"""," ""金4"""," ""1～""", ,,,
"243, ""041107"," ""Communicative English Ⅰ L(7)"""," ""マクラハン・ジェラディーン[McCrohan Gerardine]"""," ""前期"""," ""金4"""," ""1～""", ,,,
"244, ""041108"," ""Communicative English Ⅰ L(8)"""," ""ウィリアムズ　厚子"""," ""前期"""," ""金4"""," ""1～""", ,,,
"245, ""041110"," ""Communicative English Ⅰ JE(1)"""," ""ウィリアムズ　厚子"," 篠原　範子[Shinohara Noriko]"""," ""前期"""," ""水2"""," ""1～""",,,
"246, ""041111"," ""Communicative English Ⅰ JE(2)"""," ""ウィリアムズ　厚子"," アダム・ブロッド[ADAM Brod]"""," ""前期"""," ""水2"""," ""1～""",,,
"247, ""041112"," ""Communicative English Ⅰ JE(3)"""," ""ウィリアムズ　厚子"," 森川　光与[Mitsuyo MORIKAWA]"""," ""前期"""," ""水2"""," ""1～""",,,
"248, ""041113"," ""Communicative English Ⅰ JE(4)"""," ""ウィリアムズ　厚子"," ヒル　スティーブ[HILL STEPHEN MICHAEL RICHARD]"""," ""前期"""," ""水2"""," ""1～""",,,
"249, ""041114"," ""Communicative English Ⅰ JE(5)"""," ""ウィリアムズ　厚子"," 竹中  千鶴[Chizuru TAKENAKA]"""," ""前期"""," ""水2"""," ""1～""",,,
"250, ""041115"," ""Communicative English Ⅰ JE(6)"""," ""ウィリアムズ　厚子"," 中島　友愛[Tomoe NAKAJIMA]"""," ""前期"""," ""水2"""," ""1～""",,,
"251, ""041116"," ""Communicative English Ⅰ JE(7)"""," ""辻　梨花[TSUJI Rika]"""," ""前期"""," ""水2"""," ""1～""", ,,,
"252, ""041117"," ""Communicative English Ⅰ JE(8)"""," ""パーキンス　ガレス　エドワード"""," ""前期"""," ""水2"""," ""1～""", ,,,
"253, ""041118"," ""Communicative English Ⅰ JE(9)"""," ""中井　富紀"""," ""前期"""," ""水2"""," ""1～""", ,,,
"254, ""041119"," ""Communicative English Ⅰ JE(10)"""," ""ビラ　ダビッド[Billa David]"""," ""前期"""," ""水2"""," ""1～""", ,,,
"255, ""041120"," ""Communicative English Ⅰ JE(11)"""," ""ウィリー・イアン・デビッド[Willey Ian David]"""," ""前期"""," ""水2"""," ""1～""", ,,,
"256, ""041121"," ""Communicative English Ⅰ JE(12)"""," ""ウィリアムズ　厚子"""," ""前期"""," ""水2"""," ""1～""", ,,,
"257, ""041122"," ""Communicative English Ⅰ JE(13)"""," ""ウィリアムズ　厚子"," 中島　友愛[Tomoe NAKAJIMA]"""," ""前期"""," ""木2"""," ""1～""",,,
"258, ""041123"," ""Communicative English Ⅰ JE(14)"""," ""ウィリアムズ　厚子"," 瀬良  和彦[Sera Kazuhiko]"""," ""前期"""," ""木2"""," ""1～""",,,
"259, ""041124"," ""Communicative English Ⅰ JE(15)"""," ""ウィリアムズ　厚子"," 竹中  千鶴[Chizuru TAKENAKA]"""," ""前期"""," ""木2"""," ""1～""",,,
"260, ""041125"," ""Communicative English Ⅰ JE(16)"""," ""ウィリアムズ　厚子"," 鳥越  洋子[Yohko TORIGOE]"""," ""前期"""," ""木2"""," ""1～""",,,
"261, ""041126"," ""Communicative English Ⅰ JE(17)"""," ""ウィリアムズ　厚子"," 柏原  智美[Tomomi KASHIHARA]"""," ""前期"""," ""木2"""," ""1～""",,,
"262, ""041127"," ""Communicative English Ⅰ JE(18)"""," ""ウィリー・イアン・デビッド[Willey Ian David]"""," ""前期"""," ""木2"""," ""1～""", ,,,
"263, ""041129"," ""Communicative English Ⅰ T(1)"""," ""ウィリアムズ　厚子"," 柏原  智美[Tomomi KASHIHARA]"""," ""前期"""," ""月2"""," ""1～""",,,
"264, ""041130"," ""Communicative English Ⅰ T(2)"""," ""ウィリアムズ　厚子"," 田口　明美[Akemi TAGUCHI]"""," ""前期"""," ""月2"""," ""1～""",,,
"265, ""041131"," ""Communicative English Ⅰ T(3)"""," ""ウィリアムズ　厚子"," カリコ　ラファエル　ケアロハ[ＫＡＬＩＫＯ，ＲＡＰＨＡＥＬ　ＫＥＡＬＯＨＡ]"""," ""前期"""," ""月2"""," ""1～""",,,
"266, ""041132"," ""Communicative English Ⅰ T(4)"""," ""ウィリアムズ　厚子"," ガルシア　フェルナンデス　マリア　グデリア[Garcia Fernandez Maria Gudelia]"""," ""前期"""," ""月2"""," ""1～""",,,
"267, ""041133"," ""Communicative English Ⅰ T(5)"""," ""中住　幸治[NAKAZUMI Yukiharu]"""," ""前期"""," ""月2"""," ""1～""", ,,,
"268, ""041134"," ""Communicative English Ⅰ T(6)"""," ""永尾　智[NAGAO Satoshi]"""," ""前期"""," ""月2"""," ""1～""", ,,,
"269, ""041135"," ""Communicative English Ⅰ T(7)"""," ""杉田　貴瑞[SUGITA Takayoshi]"""," ""前期"""," ""月2"""," ""1～""", ,,,
"270, ""041136"," ""Communicative English Ⅰ T(8)"""," ""パーキンス　ガレス　エドワード"""," ""前期"""," ""月2"""," ""1～""", ,,,
"271, ""041137"," ""Communicative English Ⅰ T(9)"""," ""ビラ　ダビッド[Billa David]"""," ""前期"""," ""月2"""," ""1～""", ,,,
"272, ""041138"," ""Communicative English Ⅰ T(10)"""," ""中井　富紀"""," ""前期"""," ""月2"""," ""1～""", ,,,
"273, ""041139"," ""Communicative English Ⅰ T(11)"""," ""マクラハン・ジェラディーン[McCrohan Gerardine]"""," ""前期"""," ""月2"""," ""1～""", ,,,
"274, ""041140"," ""Communicative English Ⅰ A(1)"""," ""ウィリアムズ　厚子"," 鳥越  洋子[Yohko TORIGOE]"""," ""前期"""," ""木3"""," ""1～""",,,
"275, ""041141"," ""Communicative English Ⅰ A(2)"""," ""ウィリアムズ　厚子"," 中島　友愛[Tomoe NAKAJIMA]"""," ""前期"""," ""木3"""," ""1～""",,,
"276, ""041142"," ""Communicative English Ⅰ A(3)"""," ""ウィリアムズ　厚子"," 柏原  智美[Tomomi KASHIHARA]"""," ""前期"""," ""木3"""," ""1～""",,,
"277, ""041143"," ""Communicative English Ⅰ A(4)"""," ""ウィリアムズ　厚子"," 竹中  千鶴[Chizuru TAKENAKA]"""," ""前期"""," ""木3"""," ""1～""",,,
"278, ""041144"," ""Communicative English Ⅰ A(5)"""," ""ウィリアムズ　厚子"," 瀬良  和彦[Sera Kazuhiko]"""," ""前期"""," ""木3"""," ""1～""",,,
"279, ""041145"," ""Communicative English Ⅰ A(6)"""," ""マクラハン・ジェラディーン[McCrohan Gerardine]"""," ""前期"""," ""木3"""," ""1～""", ,,,
"280, ""041146"," ""Communicative English Ⅰ A(7)"""," ""長井　克己[Nagai Katsumi]"""," ""前期"""," ""木3"""," ""1～""", ,,,
"281, ""041148"," ""Communicative English Ⅰ M(1)"""," ""ビラ　ダビッド[Billa David]"""," ""前期"""," ""木3"""," ""1～""", ,,,
"282, ""041149"," ""Communicative English Ⅰ M(2)"""," ""パーキンス　ガレス　エドワード"""," ""前期"""," ""木3"""," ""1～""", ,,,
"283, ""041150"," ""Communicative English Ⅰ M(3)"""," ""中井　富紀"""," ""前期"""," ""木3"""," ""1～""", ,,,
"284, ""041151"," ""Communicative English Ⅰ M(4)"""," ""ウィリアムズ　厚子"," 篠原　範子[Shinohara Noriko]"""," ""前期"""," ""木3"""," ""1～""",,,
"285, ""041152"," ""Communicative English Ⅰ NP(1)"""," ""ビラ　ダビッド[Billa David]"""," ""前期"""," ""木2"""," ""1～""", ,,,
"286, ""041153"," ""Communicative English Ⅰ NP(2)"""," ""中井　富紀"""," ""前期"""," ""木2"""," ""1～""", ,,,
"287, ""041154"," ""Communicative English Ⅰ NP(3)"""," ""ウィリアムズ　厚子"," 篠原　範子[Shinohara Noriko]"""," ""前期"""," ""木2"""," ""1～""",,,
"288, ""041155"," ""Communicative English Ⅰ T(12)"""," ""ウィリー・イアン・デビッド[Willey Ian David]"""," ""前期"""," ""月2"""," ""1～""", ,,,
"289, ""041156"," ""Communicative English Ⅰ T(13)"""," ""ウィリアムズ　厚子"""," ""前期"""," ""月2"""," ""1～""", ,,,
"290, ""041157"," ""Communicative English Ⅰ NP(4)"""," ""パーキンス　ガレス　エドワード"""," ""前期"""," ""木2"""," ""1～""", ,,,
"291, ""041201"," ""Communicative English Ⅱ L(1)"""," ""パーキンス　ガレス　エドワード"""," ""後期"""," ""金4"""," ""1～""", ,,,
"292, ""041202"," ""Communicative English Ⅱ L(2)"""," ""ビラ　ダビッド[Billa David]"""," ""後期"""," ""金4"""," ""1～""", ,,,
"293, ""041203"," ""Communicative English Ⅱ L(3)"""," ""長井　克己", ヒル　スティーブ[Nagai Katsumi," HILL STEPHEN MICHAEL RICHARD]"""," ""後期"""," ""金4""",,,
"294, ""041204"," ""Communicative English Ⅱ L(4)"""," ""長井　克己", ジョナサン　ベリー　[Nagai Katsumi," Jonathan Berry]"""," ""後期"""," ""金4""",,,
"295, ""041205"," ""Communicative English Ⅱ L(5)"""," ""長井　克己", 森川　光与[Nagai Katsumi," Mitsuyo MORIKAWA]"""," ""後期"""," ""金4""",,,
"296, ""041206"," ""Communicative English Ⅱ L(6)"""," ""長井　克己", 瀬良  和彦[Nagai Katsumi," Sera Kazuhiko]"""," ""後期"""," ""金4""",,,
"297, ""041207"," ""Communicative English Ⅱ L(7)"""," ""長井　克己", 篠原　範子[Nagai Katsumi," Shinohara Noriko]"""," ""後期"""," ""金4""",,,
"298, ""041208"," ""Communicative English Ⅱ L(8)"""," ""辻　梨花[TSUJI Rika]"""," ""後期"""," ""金4"""," ""1～""", ,,,
"299, ""041210"," ""Communicative English Ⅱ JE(1)"""," ""長井　克己", ガルシア　フェルナンデス　マリア　グデリア[Nagai Katsumi," Garcia Fernandez Maria Gudelia]"""," ""後期"""," ""水2""",,,
"300, ""041211"," ""Communicative English Ⅱ JE(2)"""," ""長井　克己", アダム・ブロッド[Nagai Katsumi," ADAM Brod]"""," ""後期"""," ""水2""",,,
"301, ""041212"," ""Communicative English Ⅱ JE(3)"""," ""長井　克己", ヒル　スティーブ[Nagai Katsumi," HILL STEPHEN MICHAEL RICHARD]"""," ""後期"""," ""水2""",,,
"302, ""041213"," ""Communicative English Ⅱ JE(4)"""," ""ビラ　ダビッド[Billa David]"""," ""後期"""," ""水2"""," ""1～""", ,,,
"303, ""041214"," ""Communicative English Ⅱ JE(5)"""," ""パーキンス　ガレス　エドワード"""," ""後期"""," ""水2"""," ""1～""", ,,,
"304, ""041215"," ""Communicative English Ⅱ JE(6)"""," ""長井　克己", 森川　光与[Nagai Katsumi," Mitsuyo MORIKAWA]"""," ""後期"""," ""水2""",,,
"305, ""041216"," ""Communicative English Ⅱ JE(7)"""," ""長井　克己", 中島　友愛[Nagai Katsumi," Tomoe NAKAJIMA]"""," ""後期"""," ""水2""",,,
"306, ""041217"," ""Communicative English Ⅱ JE(8)"""," ""長井　克己", 竹中  千鶴[Nagai Katsumi," Chizuru TAKENAKA]"""," ""後期"""," ""水2""",,,
"307, ""041218"," ""Communicative English Ⅱ JE(9)"""," ""中井　富紀"""," ""後期"""," ""水2"""," ""1～""", ,,,
"308, ""041219"," ""Communicative English Ⅱ JE(10)"""," ""水野　康一[Mizuno Koichi]"""," ""後期"""," ""水2"""," ""1～""", ,,,
"309, ""041220"," ""Communicative English Ⅱ JE(11)"""," ""長井　克己[Nagai Katsumi]"""," ""後期"""," ""水2"""," ""1～""", ,,,
"310, ""041221"," ""Communicative English Ⅱ JE(12)"""," ""ウィリアムズ　厚子"""," ""後期"""," ""水2"""," ""1～""", ,,,
"311, ""041222"," ""Communicative English Ⅱ JE(13)"""," ""ビラ　ダビッド[Billa David]"""," ""後期"""," ""木2"""," ""1～""", ,,,
"312, ""041223"," ""Communicative English Ⅱ JE(14)"""," ""パーキンス　ガレス　エドワード"""," ""後期"""," ""木2"""," ""1～""", ,,,
"313, ""041224"," ""Communicative English Ⅱ JE(15)"""," ""長井　克己", 瀬良  和彦[Nagai Katsumi," Sera Kazuhiko]"""," ""後期"""," ""木2""",,,
"314, ""041225"," ""Communicative English Ⅱ JE(16)"""," ""長井　克己", 篠原　範子[Nagai Katsumi," Shinohara Noriko]"""," ""後期"""," ""木2""",,,
"315, ""041226"," ""Communicative English Ⅱ JE(17)"""," ""長井　克己", 竹中  千鶴[Nagai Katsumi," Chizuru TAKENAKA]"""," ""後期"""," ""木2""",,,
"316, ""041227"," ""Communicative English Ⅱ JE(18)"""," ""ウィリアムズ　厚子"""," ""後期"""," ""木2"""," ""1～""", ,,,
"317, ""041229"," ""Communicative English Ⅱ T(1)"""," ""長井　克己", カリコ　ラファエル　ケアロハ[Nagai Katsumi," ＫＡＬＩＫＯ，ＲＡＰＨＡＥＬ　ＫＥＡＬＯＨＡ]"""," ""後期"""," ""月2""",,,
"318, ""041230"," ""Communicative English Ⅱ T(2)"""," ""ビラ　ダビッド[Billa David]"""," ""後期"""," ""月2"""," ""1～""", ,,,
"319, ""041231"," ""Communicative English Ⅱ T(3)"""," ""ウィリー・イアン・デビッド[Willey Ian David]"""," ""後期"""," ""月2"""," ""1～""", ,,,
"320, ""041232"," ""Communicative English Ⅱ T(4)"""," ""パーキンス　ガレス　エドワード"""," ""後期"""," ""月2"""," ""1～""", ,,,
"321, ""041233"," ""Communicative English Ⅱ T(5)"""," ""長井　克己[Nagai Katsumi]"""," ""後期"""," ""月2"""," ""1～""", ,,,
"322, ""041234"," ""Communicative English Ⅱ T(6)"""," ""長井　克己", 田口　明美[Nagai Katsumi," Akemi TAGUCHI]"""," ""後期"""," ""月2""",,,
"323, ""041235"," ""Communicative English Ⅱ T(7)"""," ""長井　克己", 柏原  智美[Nagai Katsumi," Tomomi KASHIHARA]"""," ""後期"""," ""月2""",,,
"324, ""041236"," ""Communicative English Ⅱ T(8)"""," ""辻　梨花[TSUJI Rika]"""," ""後期"""," ""月2"""," ""1～""", ,,,
"325, ""041237"," ""Communicative English Ⅱ T(9)"""," ""中井　富紀"""," ""後期"""," ""月2"""," ""1～""", ,,,
"326, ""041238"," ""Communicative English Ⅱ T(10)"""," ""ポール・バテン[BATTEN PAUL GERARD]"""," ""後期"""," ""月2"""," ""1～""", ,,,
"327, ""041239"," ""Communicative English Ⅱ T(11)"""," ""中住　幸治[NAKAZUMI Yukiharu]"""," ""後期"""," ""月2"""," ""1～""", ,,,
"328, ""041240"," ""Communicative English Ⅱ A(1)"""," ""ビラ　ダビッド[Billa David]"""," ""後期"""," ""木3"""," ""1～""", ,,,
"329, ""041241"," ""Communicative English Ⅱ A(2)"""," ""長井　克己", 鳥越  洋子[Nagai Katsumi," Yohko TORIGOE]"""," ""後期"""," ""木3""",,,
"330, ""041242"," ""Communicative English Ⅱ A(3)"""," ""長井　克己", 瀬良  和彦[Nagai Katsumi," Sera Kazuhiko]"""," ""後期"""," ""木3""",,,
"331, ""041243"," ""Communicative English Ⅱ A(4)"""," ""長井　克己", 中島　友愛[Nagai Katsumi," Tomoe NAKAJIMA]"""," ""後期"""," ""木3""",,,
"332, ""041244"," ""Communicative English Ⅱ A(5)"""," ""長井　克己", 篠原　範子[Nagai Katsumi," Shinohara Noriko]"""," ""後期"""," ""木3""",,,
"333, ""041245"," ""Communicative English Ⅱ A(6)"""," ""長井　克己", 竹中  千鶴[Nagai Katsumi," Chizuru TAKENAKA]"""," ""後期"""," ""木3""",,,
"334, ""041246"," ""Communicative English Ⅱ A(7)"""," ""長井　克己", 柏原  智美[Nagai Katsumi," Tomomi KASHIHARA]"""," ""後期"""," ""木3""",,,
"335, ""041248"," ""Communicative English Ⅱ M(1)"""," ""パーキンス　ガレス　エドワード"""," ""後期"""," ""木3"""," ""1～""", ,,,
"336, ""041249"," ""Communicative English Ⅱ M(2)"""," ""中井　富紀"""," ""後期"""," ""木3"""," ""1～""", ,,,
"337, ""041250"," ""Communicative English Ⅱ M(3)"""," ""水野　康一[Mizuno Koichi]"""," ""後期"""," ""木3"""," ""1～""", ,,,
"338, ""041252"," ""Communicative English Ⅱ NP(1)"""," ""中井　富紀"""," ""後期"""," ""木2"""," ""1～""", ,,,
"339, ""041253"," ""Communicative English Ⅱ NP(2)"""," ""長井　克己", 中島　友愛[Nagai Katsumi," Tomoe NAKAJIMA]"""," ""後期"""," ""木2""",,,
"340, ""041254"," ""Communicative English Ⅱ NP(3)"""," ""長井　克己", 柏原  智美[Nagai Katsumi," Tomomi KASHIHARA]"""," ""後期"""," ""木2""",,,
"341, ""041255"," ""Communicative English Ⅱ T(12)"""," ""杉田　貴瑞[SUGITA Takayoshi]"""," ""後期"""," ""月2"""," ""1～""", ,,,
"342, ""041256"," ""Communicative English Ⅱ T(13)"""," ""永尾　智[NAGAO Satoshi]"""," ""後期"""," ""月2"""," ""1～""", ,,,
"343, ""041257"," ""Communicative English Ⅱ NP(4)"""," ""長井　克己", 鳥越  洋子[Nagai Katsumi," Yohko TORIGOE]"""," ""後期"""," ""木2""",,,
