A_x,B_x,C,D_x,E,F,G,A_y,B_y,D_y
"41, ""000123"," ""サーバント・リーダー養成入門Ⅰ """," ""早川　茂", 松村　幸江, 早川　茂[Hayakawa Shigeru," Yukie MATSUMURA]"""," ""2Q""",,,
"42, ""000124"," ""差別とマイノリティ """," ""小坂　有資"""," ""2Q"""," ""火1"""," ""1～""", ,,,
"43, ""000125"," ""マイノリティのライフヒストリー """," ""小坂　有資"""," ""3Q"""," ""火1"""," ""1～""", ,,,
"44, ""000126"," ""社会デザインとマイノリティ問題 """," ""小坂　有資"""," ""4Q"""," ""火1"""," ""1～""", ,,,
"45, ""000127"," ""はじめて学ぶDRI イ"""," ""小坂　有資"," 西本　佳代[NISHIMOTO KAYO]"""," ""1Q"""," ""火1"""," ""1～""",,,
"46, ""000128"," ""はじめて学ぶDRI ロ"""," ""小坂　有資"," 西本　佳代[NISHIMOTO KAYO]"""," ""3Q"""," ""集中"""," ""1～""",,,
"47, ""000129"," ""知プラe科目　日本におけるドイツ兵捕虜1914-1920　―四国の収容所を中心に―　(Focusing on Camps in Shikoku) """," ""井戸  慶治[Keiji IDO]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"48, ""000130"," ""知プラe科目　モラエスの徳島-グローバリズムと異邦人- """," ""金西　計英[Kazuhide KANENISHI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"49, ""000131"," ""知プラe科目　ユーラシア大陸における人と金属生産の関わり """," ""村上　恭通[Yasuyuki MURAKAMI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"50, ""000132"," ""企業統治と法 A """," ""前原　信夫[Maehara Nobuo]"""," ""3Q"""," ""金1"""," ""1～""", ,,,
"51, ""000133"," ""企業統治と法 B """," ""前原　信夫[Maehara Nobuo]"""," ""4Q"""," ""金1"""," ""1～""", ,,,
"52, ""000134"," ""オリンピックの歴史と文化 """," ""石川　雄一[ISHIKAWA Yuichi]"""," ""2Q"""," ""金1"""," ""1～""", ,,,
"53, ""000135"," ""やさしい法学入門 """," ""溝渕　彰[Akira MIZOBUCHI]"""," ""2Q"""," ""金2"""," ""1～""", ,,,
"54, ""000136"," ""落語に学ぶ民法入門 """," ""溝渕　彰[Akira MIZOBUCHI]"""," ""4Q"""," ""火2"""," ""1～""", ,,,
"55, ""000137"," ""損害保険を考える """," ""寺尾　徹", 及川　清志[TERAO Toru," OIKAWA Kiyoshi]"""," ""1Q"""," ""木5""",,,
"56, ""000201"," ""心の健康と援助　-臨床心理学の観点から- Ａ """," ""林　智一", 山田　俊介[HAYASHI Tomokazu," Yamada Shunsuke]"""," ""3Q"""," ""金2""",,,
"57, ""000202"," ""「教育」と「情報/ICT」について考えよう  """," ""松下　幸司[Matsushita Koji]"""," ""2Q"""," ""金1"""," ""1～""", ,,,
"58, ""000203"," ""幼児教育から見える日本の文化と子どもたちの育ち """," ""松井　剛太[MATSUI Gota]"""," ""3Q"""," ""金1"""," ""1～""", ,,,
"59, ""000204"," ""自己形成と他者をめぐる問題 """," ""櫻井　佳樹[SAKURAI Yoshiki]"""," ""4Q"""," ""金1"""," ""1～""", ,,,
"60, ""000205"," ""子どもの視座から教育を考える """," ""山岸　知幸[Yamagishi Tomoyuki]"""," ""4Q"""," ""木5"""," ""1～""", ,,,
"61, ""000206"," ""心と身体の関係と医療 """," ""神原　憲治", 太田　美里, 山下　明子, 角　徳文[Kenji KAMBARA, YAMASHITA Akiko,,,
"62, ""000207"," ""脳と体の健康について """," ""上野　正樹", 星野　克明, 鎌田　正紀, 千葉　陽一, 村上　龍太,,,
"63, ""000208"," ""栄養学のすすめ """," ""畦　五月[UNE Satsuki]"""," ""2Q"""," ""金2"""," ""1～""", ,,,
"64, ""000209"," ""人を動かすロジカルコミュニケーション """," ""山中　隆史[Takashi YAMANAKA]"""," ""4Q"""," ""火1"""," ""1～""", ,,,
"65, ""000210"," ""知プラe科目　学校教員の世界 """," ""竹口　幸志", 宮下　晃一[Koji TAKEGUCHI," Koichi MIYASHITA]"""," ""前期"""," ""集中""",,,
"66, ""000211"," ""知プラe科目　大学教育を考える """," ""吉田　博[Hiroshi YOSHIDA]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"67, ""000212"," ""知プラe科目　現代科学と研究倫理 """," ""金西　計英[Kazuhide KANENISHI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"68, ""000213"," ""知プラe科目　文化心理学入門 """," ""金西　計英[Kazuhide KANENISHI]"""," ""後期"""," ""集中"""," ""1～""", ,,,
"69, ""000214"," ""機能性食品と健康 """," ""米倉　リナ[Yonekura Lina ]"""," ""4Q"""," ""金2"""," ""1～""", ,,,
"70, ""000215"," ""こころとからだの科学 """," ""鎌野　寛[Kamano Hiroshi]"""," ""4Q"""," ""金2"""," ""1～""", ,,,
"71, ""000216"," ""筋肉の科学 """," ""石川　雄一[ISHIKAWA Yuichi]"""," ""3Q"""," ""金2"""," ""1～""", ,,,
"72, ""000217"," ""心の健康と援助　-臨床心理学の観点から- Ｂ """," ""竹森　元彦", 橋本　忠行[Takemori Motohiko," Hashimoto Tadayuki ]"""," ""4Q"""," ""月5""",,,
"73, ""000301"," ""ITサービス概論（基礎） """," ""沼田　秀穂[Hideho NUMATA]"""," ""3Q"""," ""火2"""," ""1～""", ,,,
"74, ""000302"," ""ITサービス概論（応用） """," ""沼田　秀穂[Hideho NUMATA]"""," ""4Q"""," ""火2"""," ""1～""", ,,,
"75, ""000303"," ""情報数学の基礎 """," ""堀川　洋[Horikawa Yo]"""," ""4Q"""," ""木4"""," ""1～""", ,,,
"76, ""000304"," ""エクセルによる基本統計解析 """," ""堀川　洋[Horikawa Yo]"""," ""4Q"""," ""木5"""," ""1～""", ,,,
"77, ""000305"," ""身近な製品の仕組みとものづくりの基礎 """," ""松田　伸也[Shinya MATSUDA]"""," ""1Q"""," ""木5"""," ""1～""", ,,,
"78, ""000306"," ""ヒューマンコミュニケーション """," ""山田　貴志[YAMADA Takashi]"""," ""2Q"""," ""金2"""," ""1～""", ,,,
"79, ""000307"," ""ものの科学 """," ""松本　洋明", 鶴町　徳昭[Hiroaki Matsumoto," Tsurumachi Noriaki]"""," ""4Q"""," ""木5""",,,
"80, ""000308"," ""知プラe科目　コンピュータと教育　その１ """," ""林　敏浩[Hayashi Toshihiro]"""," ""1Q"""," ""集中"""," ""1～""", ,,,
"81, ""000309"," ""知プラe科目　コンピュータと教育　その２ """," ""林　敏浩[Hayashi Toshihiro]"""," ""2Q"""," ""集中"""," ""1～""", ,,,
